Assembly	BioSample	Organism	Submitter	SeqTech	SubmissionDate	IsolationSource	GeoLocName	CollectionDate	Host
GCA_036758405.1	SAMN28747591	Saprospiraceae bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T05:28:36.486	sediment; sludge; water	missing	missing	
GCA_900770655.1	SAMEA5278214	Bacteroidaceae bacterium	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:04:50.920	human stool	Fiji	2018-01-01	
GCA_902487535.1	SAMEA5853113	uncultured Bacteroidales bacterium	EMG	Illumina	2019-08-07T10:19:02.290	human gut	not provided		
GCA_900538875.1	SAMEA4890774	uncultured Bifidobacterium sp.	EBI	Illumina	2019-01-28T10:01:08.483	human gut			
GCA_902482145.1	SAMEA5852574	uncultured Bifidobacterium sp.	EMG	Illumina	2019-08-07T10:18:44.836	human gut	China		
GCA_003212775.1	SAMN08886490	Pelagibacteraceae bacterium AG-435-N18	Massachusetts Institute of Technology	Illumina NextSeq 500	2018-04-06T15:44:18.170	single cell amplified by WGA-X; seawater	Atlantic Ocean	2011-12-04	
GCA_902587705.1	SAMEA6080175	uncultured Pelagibacteraceae bacterium	WOODS HOLE OCEANOGRAPHIC INSTITUTION	illumina	2019-10-26T18:20:04.026	marine water		2011-12-04	
GCA_949516195.1	SAMEA112730909	uncultured Muribaculum sp.	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Illumina HiSeq 2000	2023-03-08T08:34:26.623	mouse gut metagenome	USA	2018-01-15	
GCA_949541215.1	SAMEA112731119	uncultured Muribaculum sp.	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	NextSeq 500	2023-03-08T08:34:33.826	mouse gut metagenome	USA	2018-01-15	
GCA_034106505.1	SAMN37357809	Enterobacter cloacae subsp. cloacae	Faculte de Medecine, Universite Paris-Sud	Illumina NextSeq	2023-09-12T07:58:04.783		France	2020	Homo sapiens
GCA_036231925.1	SAMN37357737	Enterobacter cloacae subsp. cloacae	Faculte de Medecine, Universite Paris-Sud	Illumina NextSeq	2023-09-12T07:58:04.093		France	2015	Homo sapiens
GCA_004331795.1	SAMN10963436	Erythrobacteraceae bacterium CFH 75059	Henan Normal University	Illumina	2019-02-18T22:48:03.980	hot spring	China: Yunnan Province	2018-11-15	
GCA_004153605.1	SAMN10797289	Qipengyuania thermophila	Xinxiang Medical University	Illumina	2019-01-24T00:40:04.330	hot spring sediment	China:Yunnan	2017-10-01	
GCA_020053455.1	SAMN18076940	Pseudomonadota bacterium	Northwestern University	Illumina HiSeq 2500	2021-02-26T16:21:08.280	fracture fluid	USA: Sanford Underground Research Facility, Lead SD, Deep Mine Microbial Observatory (DeMMO)	2018-04	
GCA_020060725.1	SAMN18076587	Pseudomonadota bacterium	Northwestern University	Illumina HiSeq 2500	2021-02-26T16:20:08.683	fracture fluid	USA: Sanford Underground Research Facility, Lead SD, Deep Mine Microbial Observatory (DeMMO)	2018-04	
GCA_900542275.1	SAMEA4891113	uncultured Collinsella sp.	EBI	Illumina	2019-02-08T12:13:06.133	human gut			
GCA_902481135.1	SAMEA5852466	uncultured Collinsella sp.	EMG	Illumina	2019-08-07T10:18:41.430	human gut	China		
GCA_031964195.1	SAMN36531532	Acutalibacter sp.	Brown University	Illumina HiSeq	2023-07-18T19:14:06.567	cecum	USA: Rhode Island	2020-08	Mus musculus
GCA_031964275.1	SAMN36531529	Oscillibacter sp.	Brown University	Illumina HiSeq	2023-07-18T19:14:06.540	cecum	USA: Rhode Island	2020-08	Mus musculus
GCA_035398325.1	SAMN32865078	Bacteroidales bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:07.197	Activated sludge of municipal wastewater treatment plants	USA	2015-03-09	
GCA_036827205.1	SAMN28750824	Bacteroidales bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:28:37.443	sludge	USA	2015-03-09	
GCA_000381365.1	SAMN02596943	Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988	Broad Institute	Illumina	2014-01-27T09:48:59.750				
GCA_902374995.1	SAMEA5850936	Bacteroides salyersiae	EMG	Illumina	2019-08-07T10:17:52.930	human gut	not provided		
GCA_900545745.1	SAMEA4891456	uncultured Collinsella sp.	EBI	Illumina	2019-02-08T12:13:08.836	human gut			
GCA_902480115.1	SAMEA5852370	uncultured Collinsella sp.	EMG	Illumina	2019-08-07T10:18:38.370	human gut	USA		
GCA_001729085.1	SAMN05179245	Aeromonas sp. ANP5	Instituto de Ecologia	Illumina MiSeq	2016-05-26T11:46:02.253	pond water enriched with phosphorus and nitrogen	Mexico: Coahuila, Cuatro Cienegas	2011-05-14	
GCA_963870295.1	SAMEA115017335	Aeromonas sp. ANP5	Nanjing Agriculture University	not collected	2024-03-02T10:03:33.685		Mexico	not collected	
GCA_008692525.1	SAMN10316132	Candidatus Enterovibrio escicola	DEEPEND Consortium	Illumina HiSeq	2018-10-25T17:13:05.460	total DNA from escal light organ	Atlantic Ocean	1999-11-13	Melanocetus johnsonii
GCA_963885825.1	SAMEA115018076	Candidatus Enterovibrio escicola	Nanjing Agriculture University	not collected	2024-03-02T10:04:04.590		not collected	not collected	
GCA_900018365.1	SAMN03992719	Apibacter mensalis	DOE - Joint Genome Institute	Illumina HiSeq 2500,Illumina HiSeq 2500-1TB	2015-08-14T05:28:07.000	missing	missing	not collected	
GCA_001418685.1	SAMN03992719	Apibacter mensalis	Joint Genome Institute	Illumina HiSeq 2500-1TB	2015-08-14T05:28:07.000	missing	missing	not collected	
GCA_002741955.1	SAMN05853039	Staphylococcus aureus	University of Colorado	Illumina MiSeq	2016-09-29T14:57:05.120	blood	USA: Denver	2012-11-27	Homo sapiens
GCA_002982755.1	SAMN07811210	Staphylococcus aureus	University of Colorado	Miseq	2017-10-18T18:39:03.950	blood	USA: Denver, CO	2012-11-27	Homo sapiens
GCA_035393485.1	SAMN32865325	Spirochaetales bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:09.567	Activated sludge of municipal wastewater treatment plants	USA	2015-01-07	
GCA_036825315.1	SAMN28750819	Spirochaetales bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:28:37.390	sludge	USA	2015-01-07	
GCA_003432465.1	SAMN09770288	Aeromonas dhakensis	Sun Yat-sen University	Illumina HiSeq	2018-08-07T02:48:04.696	blood	China	2017-04-17	Homo sapiens
GCA_963880155.1	SAMEA115017758	Aeromonas dhakensis	Nanjing Agriculture University	not collected	2024-03-02T10:03:48.245		not collected	not collected	
GCA_900770345.1	SAMEA5279383	Lachnospiraceae bacterium	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:20:19.916	human stool	Fiji	2018-01-01	
GCA_902487345.1	SAMEA5853099	uncultured Clostridium sp.	EMG	Illumina	2019-08-07T10:19:01.743	human gut	not provided		
GCA_014076795.1	SAMN15641046	Colwellia sp. MB3u-28	University of Alaska Fairbanks	Illumina MiSeq	2020-07-24T15:56:07.833	bottom of first year landfast sea ice	USA: Point Barrow, Alaska	2016-04-12	
GCA_963890185.1	SAMEA115018274	Colwellia sp. MB3u-28	Nanjing Agriculture University	not collected	2024-03-02T10:04:09.521		not collected	not collected	
GCA_900760055.1	SAMEA5278979	Opitutales bacterium	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:14:59.890	human stool	USA	2018-01-01	
GCA_902483565.1	SAMEA5852711	uncultured Opitutia bacterium	EMG	Illumina	2019-08-07T10:18:49.510	human gut	USA		
GCA_003050545.1	SAMN08099550	Vibrio splendidus	Station Biologique Roscoff (CNRS/UMPC)	Illumina HiSeq	2017-11-26T18:59:04.640	Filtered seawater (1uM filter)	USA: Plum Island, MA	2006-04-28	
GCA_963878795.1	SAMEA115017674	Vibrio splendidus	Nanjing Agriculture University	not collected	2024-03-02T10:03:46.890		not collected	not collected	
GCA_003547055.1	SAMN08120384	Burkholderia pseudomallei	Universiti Kebangsaan Malaysia	PacBio	2017-12-02T05:22:03.763	Institute for Medical Research, Kuala Lumpur	Malaysia	2000	Homo sapiens
GCA_902141835.1	SAMEA5606428	Burkholderia pseudomallei	MALAYSIA GENOME INSTITUTE	PACBIO	2020-04-18T17:19:18.376				
GCA_963993185.1	SAMEA115401577	Mycobacterium tuberculosis	Swiss Tropical and Public Health Institute	Sequel II	2024-03-18T10:00:22.043		Switzerland	1993	
GCA_963993275.1	SAMEA115401576	Mycobacterium tuberculosis	Swiss Tropical and Public Health Institute	Sequel II	2024-03-18T10:00:22.023		Switzerland	1998	
GCA_009915225.1	SAMN13870615	Proteus sp. G4398	nankai university	Illumina GAIIx	2020-01-15T21:55:03.786	missing	missing	missing	
GCA_963886895.1	SAMEA115018134	Proteus sp. G4398	Nanjing Agriculture University	not collected	2024-03-02T10:04:05.692		not collected	not collected	
GCA_900545875.1	SAMEA4891467	uncultured Collinsella sp.	EBI	Illumina	2019-01-28T10:07:17.976	human gut			
GCA_902480065.1	SAMEA5852360	uncultured Collinsella sp.	EMG	Illumina	2019-08-07T10:18:38.086	human gut	USA		
GCA_002632685.1	SAMN05375105	Xenorhabdus mauleonii	Goethe University	Illumina	2016-07-12T02:49:02.423		missing	missing	Steinernema
GCA_963876565.1	SAMEA115016108	Xenorhabdus mauleonii	Nanjing Agriculture University	not collected	2024-03-02T10:02:54.900		not collected	not collected	
GCA_902374935.1	SAMEA5850940	Staphylococcus schleiferi	EMG	Illumina	2019-08-07T10:17:53.040	human gut	not provided		
GCA_000411275.1	SAMN02596732	Staphylococcus sp. HGB0015	Broad Institute	Illumina	2014-01-27T09:48:47.783				
GCA_035329885.1	SAMN32809426	Pyrinomonadaceae bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-20T09:11:08.140	full-scale industrial wastewater treatment plants sludge	Argentina	Missing	
GCA_036826395.1	SAMN28750482	Pyrinomonadaceae bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:28:33.110	sludge	Argentina	missing	
GCA_016729585.1	SAMN17083348	Aeromonas dhakensis	Chinese Center for Disease Control and Prevention	Illumina MiSeq	2020-12-15T09:15:06.830	stool	China: Shenzhen, Longgang	2017-09-30	Homo sapiens
GCA_963892265.1	SAMEA115016517	Aeromonas dhakensis	Nanjing Agriculture University	not collected	2024-03-02T10:03:08.877		not collected	not collected	
GCA_017880275.1	SAMN17914834	Pelagibacteraceae bacterium	Clemson University	Illumina HiSeq	2021-02-14T23:37:12.126	bay water summer D sample 29 PSU in less than .8 micron size fraction	USA: Delaware Bay	2014-09-01	
GCA_017880415.1	SAMN17914828	Pelagibacteraceae bacterium	Clemson University	Illumina HiSeq	2021-02-14T23:37:12.016	Bay water	USA: Delaware Bay	2014-08-31	
GCA_000820245.1	SAMEA2752403	Aeromonas allosaccharophila	UCONNMISEQ	MiSeq	2014-11-20T08:05:22.717				
GCA_963866445.1	SAMEA115015831	Aeromonas allosaccharophila	Nanjing Agriculture University	not collected	2024-03-02T10:02:47.738		not collected	not collected	
GCA_035325285.1	SAMN32809276	Burkholderiaceae bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-20T09:11:06.620	full-scale industrial wastewater treatment plants sludge	Argentina	Missing	
GCA_036826495.1	SAMN28750473	Burkholderiaceae bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:28:33.016	sludge	Argentina	missing	
GCA_003213515.1	SAMN08886436	Pelagibacteraceae bacterium AG-422-N09	Massachusetts Institute of Technology	Illumina NextSeq 500	2018-04-06T15:44:17.080	single cell amplified by WGA-X; seawater	Atlantic Ocean	2010-10-24	
GCA_902574605.1	SAMEA6076371	uncultured Pelagibacteraceae bacterium	WOODS HOLE OCEANOGRAPHIC INSTITUTION	illumina	2019-10-26T16:11:36.836	marine water		2010-10-24	
GCA_900549655.1	SAMEA4891847	uncultured Collinsella sp.	EBI	Illumina	2019-01-28T10:10:35.410	human gut			
GCA_902480055.1	SAMEA5852356	uncultured Collinsella sp.	EMG	Illumina	2019-08-07T10:18:37.963	human gut	USA		
GCA_035404485.1	SAMN32865768	Kiritimatiellia bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T11:15:08.790	Activated sludge of municipal wastewater treatment plants	Hong Kong	2015-03-06	
GCA_036821165.1	SAMN28750154	Verrucomicrobiota bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:21:36.403	sludge	Hong Kong	2015-03-06	
GCA_902483025.1	SAMEA5852660	uncultured Pseudomonadota bacterium	EMG	Illumina	2019-08-07T10:18:47.570	human gut	USA		
GCA_900551585.1	SAMEA4892051	uncultured Alphaproteobacteria bacterium	EBI	Illumina	2019-02-08T12:13:12.696	human gut			
GCA_036807185.1	SAMN28749653	Sphingomonadaceae bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:09:34.593	sludge	China	2012-03-01	
GCA_035426945.1	SAMN32867284	Novosphingobium sp.	CLUE-TERRA	Illumina MiSeq	2023-01-22T12:09:08.587	Foam and foaming activated sludge	China	2012-03-01	
GCA_009807135.1	SAMN13162633	Streptococcus zhangguiae	China CDC	Illumina HiSeq	2019-10-30T21:03:04.033	respiratory tract	China: Yushu prefecture, Qinghai Province	2018-08	marmot
GCA_013623465.1	SAMN14832923	Streptococcus zhangguiae	China CDC	Illumina HiSeq PE150	2020-05-05T04:25:04.603		China	2018-08	marmot
GCA_016342525.1	SAMN17025251	Spirochaetales bacterium	Royal Netherlands Institute for Sea Research	Illumina	2020-12-08T10:24:06.576	Black Sea sulfidic water cellulose enrichment	Bulgaria: Black Sea	2018	
GCA_016839055.1	SAMN16623539	Spirochaetales bacterium	Royal Netherlands Institute for Sea Research	Illumina	2020-11-02T08:05:06.793	sulfidic marine water cellulose enrichment	Bulgaria: Black Sea	2018	
GCA_902481155.1	SAMEA5852458	uncultured Clostridium sp.	EMG	Illumina	2019-08-07T10:18:41.196	human gut	USA		
GCA_900549565.1	SAMEA4891840	uncultured Eubacteriales bacterium	EBI	Illumina	2019-01-28T10:10:31.153	human gut			
GCA_000754915.1	SAMN03018686	Aeromonas media	Osaka Ohtani University	Illumina HiSeq	2014-09-03T22:56:14.140	river water	Japan: Osaka	2013-01-09	
GCA_963864605.1	SAMEA115017080	Aeromonas media	Nanjing Agriculture University	not collected	2024-03-02T10:03:27.023		not collected	not collected	
GCA_902482465.1	SAMEA5852592	uncultured Merdibacter sp.	EMG	Illumina	2019-08-07T10:18:45.430	human gut	Spain		
GCA_900543035.1	SAMEA4891188	uncultured Solobacterium sp.	EBI	Illumina	2019-01-28T10:04:53.350	human gut			
GCA_035329405.1	SAMN32809450	Tabrizicola sp.	CLUE-TERRA	Illumina MiSeq	2023-01-20T09:11:08.360	full-scale industrial wastewater treatment plants sludge	Argentina	Missing	
GCA_036826305.1	SAMN28750487	Tabrizicola sp.	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:28:33.176	sludge	Argentina	missing	
GCA_902170425.1	SAMEA5778906	Yersinia kristensenii	INSTITUT PASTEUR	Illumina NextSeq 500	2019-07-19T08:15:34.163				
GCA_963900705.1	SAMEA115018970	Yersinia kristensenii	Nanjing Agriculture University	not collected	2024-03-02T10:04:35.092		not collected	not collected	
GCA_900767755.1	SAMEA5278378	Clostridia bacterium	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:07:10.790	human stool	Fiji	2018-01-01	
GCA_902486145.1	SAMEA5852971	uncultured Eubacteriales bacterium	EMG	Illumina	2019-08-07T10:18:57.620	human gut	not provided		
GCA_015557285.1	SAMN15533035	Pediococcus acidilactici	Icahn School of Medicine at Mount Sinai	Illumina HiSeq	2020-07-14T14:32:22.090	stool	USA	2017-02-13	Homo sapiens
GCA_028328315.1	SAMN31322807	Pediococcus acidilactici	Icahn School of Medicine	Illumina HiSeq	2022-10-17T16:27:15.670		USA	2017-02-13	Homo sapiens
GCA_019091775.1	SAMN18673124	Vibrio metschnikovii	Institute of Military Veterinary Science, the Academy of Military Medical Sciences	Illumina HiSeq	2021-04-08T12:20:05.270	Not applicable	China: Chifeng	2019	Migratory birds
GCA_963893295.1	SAMEA115018565	Vibrio metschnikovii	Nanjing Agriculture University	not collected	2024-03-02T10:04:19.096		not collected	not collected	
GCA_035398365.1	SAMN32865077	Smithella sp.	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:07.187	Activated sludge of municipal wastewater treatment plants	USA	2015-03-09	
GCA_036805825.1	SAMN28749962	Syntrophaceae bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:09:38.556	sludge	USA	2015-03-09	
GCA_000820705.1	SAMEA2769924	Clostridium polynesiense	ebi	454	2014-09-17T09:09:08.890				
GCA_902375345.1	SAMEA5850982	Clostridium polynesiense	EMG	Illumina	2019-08-07T10:17:54.210	human gut	not provided		
GCA_000731195.1	SAMEA3139067	Staphylococcus aureus	IFH_MS		2014-11-21T08:59:29.116		Germany	2003	
GCA_000731275.1	SAMEA3139071	Staphylococcus aureus	IFH_MS		2014-11-21T08:59:29.433		Germany	2003	
GCA_900768625.1	SAMEA5279024	Bacteroidaceae bacterium	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:15:33.483	human stool	Fiji	2018-01-01	
GCA_902486405.1	SAMEA5852995	uncultured Prevotella sp.	EMG	Illumina	2019-08-07T10:18:58.306	human gut	not provided		
GCA_035405285.1	SAMN32865731	bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T11:15:08.453	Activated sludge of municipal wastewater treatment plants	Hong Kong	2015-03-06	
GCA_036725605.1	SAMN28745746	bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T03:09:37.836	sludge	Hong Kong	2015-03-06	
GCA_001404575.1	SAMEA3545314	Parabacteroides merdae	SC	SLX	2015-09-23T14:07:30.010	feces	United Kingdom	2013	Homo sapiens
GCA_902362625.1	SAMEA5849545	Parabacteroides merdae	EMG	Illumina	2019-08-07T10:17:09.086	human gut	United Kingdom		
GCA_005844555.1	SAMN10863247	Escherichia coli	Icahn School of Medicine at Mount Sinai	Illumina HiSeq	2019-02-01T16:08:04.626	stool	USA	2016-03-14	Homo sapiens
GCA_015547695.1	SAMN15532419	Escherichia coli	Icahn School of Medicine at Mount Sinai	Illumina HiSeq	2020-07-14T14:32:11.776	stool	USA	2016-03-14	Homo sapiens
GCA_001941425.1	SAMN02996495	Corynebacterium ammoniagenes DSM 20306	Bielefeld University	Illumina	2014-08-17T18:24:12.733	stool of infant	USA: St. Louis Children's Hospital	1921	Homo sapiens
GCA_902381765.1	SAMEA5851036	Corynebacterium ammoniagenes	EMG	Illumina	2019-08-07T10:17:55.836	human gut	not provided		
GCA_003050225.1	SAMN08099566	Vibrio splendidus	Station Biologique Roscoff (CNRS/UMPC)	Illumina HiSeq	2017-11-26T18:59:04.860	Filtered seawater (64 uM filter)	USA: Plum Island, MA	2006-04-28	
GCA_963878585.1	SAMEA115017667	Vibrio splendidus	Nanjing Agriculture University	not collected	2024-03-02T10:03:46.727		not collected	not collected	
GCA_949529365.1	SAMEA112730918	Lachnospiraceae bacterium	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Illumina HiSeq 2000	2023-03-08T08:34:26.856	mouse gut metagenome	USA	2018-01-15	
GCA_949533935.1	SAMEA112731128	Lachnospiraceae bacterium	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	NextSeq 500	2023-03-08T08:34:34.066	mouse gut metagenome	USA	2018-01-15	
GCA_900555005.1	SAMEA4892380	uncultured Lachnospiraceae bacterium	EBI	Illumina	2019-02-08T12:13:15.463	human gut			
GCA_902480505.1	SAMEA5852411	uncultured Lachnospiraceae bacterium	EMG	Illumina	2019-08-07T10:18:39.586	human gut	China		
GCA_003212275.1	SAMN08886523	Pelagibacteraceae bacterium AG-447-N18	Massachusetts Institute of Technology	Illumina NextSeq 500	2018-04-06T15:44:18.787	single cell amplified by WGA-X; seawater	Atlantic Ocean	2010-11-10	
GCA_902595245.1	SAMEA6076651	uncultured Pelagibacteraceae bacterium	WOODS HOLE OCEANOGRAPHIC INSTITUTION	illumina	2019-10-26T16:11:44.663	marine water		2010-11-10	
GCA_001007935.1	SAMN03569272	Nitrosomonas communis	University of Alberta	PacBio	2015-04-27T14:39:10.000		Greece: Corfu	N/A	
GCA_024760305.1	SAMN30369231	Nitrosomonas sp. PLL12	China University of Geosciences	Illumina HiSeq	2022-08-17T08:25:05.386	groundwater	China: Inner Mongolia	2020-09	
GCA_035398385.1	SAMN32865073	Syntrophorhabdaceae bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:07.143	Activated sludge of municipal wastewater treatment plants	USA	2015-03-09	
GCA_036807245.1	SAMN28749964	Syntrophorhabdaceae bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:09:38.586	sludge	USA	2015-03-09	
GCA_001729005.1	SAMN05172925	Aeromonas sp. ANNP30	Instituto de Ecologia	Illumina MiSeq	2016-05-24T20:19:08.073	pond water enriched with phosphorus and nitrogen	Mexico: Coahuila, Cuatro Cienegas	2011-05-14	
GCA_963870135.1	SAMEA115017334	Aeromonas sp. ANNP30	Nanjing Agriculture University	not collected	2024-03-02T10:03:33.672		Mexico	not collected	
GCA_003280495.1	SAMN08886226	Pelagibacteraceae bacterium AG-359-E06	Massachusetts Institute of Technology	Illumina NextSeq 500	2018-04-06T15:44:13.227	single cell amplified by WGA-X; seawater	Atlantic Ocean	2009-07-14	
GCA_902540505.1	SAMEA6068914	uncultured Pelagibacteraceae bacterium	WOODS HOLE OCEANOGRAPHIC INSTITUTION	illumina	2019-10-26T17:13:40.703	marine water		2009-07-14	
GCA_900542315.1	SAMEA4891112	uncultured Collinsella sp.	EBI	Illumina	2019-01-28T10:04:10.710	human gut			
GCA_902480005.1	SAMEA5852349	uncultured Collinsella sp.	EMG	Illumina	2019-08-07T10:18:37.760	human gut	USA		
GCA_004342545.1	SAMN10362286	Vibrio crassostreae	DOE Joint Genome Institute	Illumina HiSeq	2018-11-01T19:45:32.427	missing	France: Brest	missing	not applicable
GCA_963880845.1	SAMEA115017867	Vibrio crassostreae	Nanjing Agriculture University	not collected	2024-03-02T10:03:57.097		not collected	not collected	
GCA_035329505.1	SAMN32809447	Promineifilum sp.	CLUE-TERRA	Illumina MiSeq	2023-01-20T09:11:08.333	full-scale industrial wastewater treatment plants sludge	Argentina	Missing	
GCA_036771075.1	SAMN28747818	Promineifilum sp.	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T05:37:39.306	sludge	Argentina	missing	
GCA_949506385.1	SAMEA112731271	uncultured Odoribacter sp.	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	NextSeq 500	2023-03-08T08:34:39.353	mouse gut metagenome	USA	2018-01-15	
GCA_949523745.1	SAMEA112730986	uncultured Odoribacter sp.	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Illumina HiSeq 2000	2023-03-08T08:34:28.980	mouse gut metagenome	USA	2018-01-15	
GCA_022096855.1	SAMN15815161	Candidatus Heimdallarchaeota archaeon	Institute of Oceanology, Chinese Academy of Sciences	BGISEQ-500	2020-08-13T21:45:06.600	cold seep sediment	Pacific Ocean: South China Sea	2018-08-01	
GCA_023135215.1	SAMN18452216	Candidatus Heimdallarchaeota archaeon	Institute of Oceanology, Chinese Academy of Sciences	Illumina HiSeq	2021-03-24T06:10:11.203	deep sea sediment	China: South China Sea	2017-09-25	
GCA_012029585.1	SAMN14381700	Aeromonas veronii	Chulalonfkorn university	Illumina HiSeq	2020-03-16T09:13:05.003	missing	Thailand:Nong Khai	2014-08	Oreochromis sp.
GCA_963888625.1	SAMEA115018199	Aeromonas veronii	Nanjing Agriculture University	not collected	2024-03-02T10:04:07.728		not collected	not collected	
GCA_949486765.1	SAMEA112731279	uncultured Christensenellaceae bacterium	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	NextSeq 500	2023-03-08T08:34:39.540	mouse gut metagenome	USA	2018-01-15	
GCA_949523735.1	SAMEA112730988	uncultured Christensenellaceae bacterium	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Illumina HiSeq 2000	2023-03-08T08:34:29.070	mouse gut metagenome	USA	2018-01-15	
GCA_002172845.2	SAMN06971887	Oceanospirillales bacterium TMED33	University of Southern California	Illumina HiSeq	2017-05-12T20:08:10.570	seawater	Mediterranean Sea	2009	not applicable
GCA_002705795.1	SAMN07620422	Gammaproteobacteria bacterium	Tara Oceans Consortium	Illumina HiSeq	2017-09-07T19:44:10.200	marine water sample	Mediterranean Sea	2009	not applicable
GCA_035397955.1	SAMN32865099	Bacteroidales bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:07.387	Activated sludge of municipal wastewater treatment plants	USA	2015-03-09	
GCA_036757145.1	SAMN28747754	Bacteroidales bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T05:28:38.570	sludge	USA	2015-03-09	
GCA_900087015.1	SAMEA3959561	Christensenella timonensis	URMITE	Illumina MP 250bp	2016-05-11T16:07:21.480				
GCA_902376065.1	SAMEA5851053	Christensenella timonensis	EMG	Illumina	2019-08-07T10:17:56.320	human gut	not provided		
GCA_900768695.1	SAMEA5278484	uncultured Anaerovibrio sp.	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:08:30.843	human stool	Fiji	2018-01-01	
GCA_902486505.1	SAMEA5853001	uncultured Anaerovibrio sp.	EMG	Illumina	2019-08-07T10:18:58.480	human gut	not provided		
GCA_035392705.1	SAMN32865627	Ignavibacteriaceae bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T11:15:07.460	Activated sludge of municipal wastewater treatment plants	USA	2015-01-07	
GCA_036749875.1	SAMN28747314	Ignavibacteriaceae bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T05:11:40.220	sludge	USA	2015-01-07	
GCA_003629935.1	SAMN09478117	Pseudomonas aeruginosa	University of Tartu	Illumina HiSeq 2500	2018-06-25T01:36:10.030		Estonia	2005	Homo sapiens
GCA_963879335.1	SAMEA115017780	Pseudomonas aeruginosa	Nanjing Agriculture University	not collected	2024-03-02T10:03:48.619		not collected	not collected	
GCA_020052765.1	SAMN18076973	Deltaproteobacteria bacterium	Northwestern University	Illumina HiSeq 2500	2021-02-26T16:21:08.650	fracture fluid	USA: Sanford Underground Research Facility, Lead SD, Deep Mine Microbial Observatory (DeMMO)	2018-04	
GCA_020060405.1	SAMN18076605	Deltaproteobacteria bacterium	Northwestern University	Illumina HiSeq 2500	2021-02-26T16:20:08.930	fracture fluid	USA: Sanford Underground Research Facility, Lead SD, Deep Mine Microbial Observatory (DeMMO)	2018-04	
GCA_001582695.1	SAMN03486859	Legionella pneumophila	National Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Contr	Illumina HiSeq	2015-04-16T02:27:15.310	Cooling tower water	Unknown	Unknown	missing
GCA_001582705.1	SAMN03486863	Legionella pneumophila	National Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Contr	Illumina HiSeq	2015-04-16T02:39:13.797	Hot spring water	China: Shenzhen	2012	missing
GCA_000750635.1	SAMEA3139098	Oceanobacillus jeddahense	URMITE		2014-11-21T08:59:31.500				
GCA_902375385.1	SAMEA5850975	Oceanobacillus jeddahense	EMG	Illumina	2019-08-07T10:17:54.006	human gut	not provided		
GCA_004569485.1	SAMN11126860	Bacteroides acidifaciens	King's College London	Illumina HiSeq	2019-03-14T11:44:05.293	oral swab	United Kingdom	2014	Mus musculus C3H/Orl
GCA_015234815.1	SAMN16540215	Bacteroides acidifaciens	King's College London	Illumina HiSeq	2020-10-25T11:51:05.096	Oral	United Kingdom	2014	Mus musculus
