Organism.Name	TaxID	BioProject.Accession	BioProject.ID	Group	SubGroup	Size..Mb.	GC.	Replicons	WGS	Scaffolds	Genes	Proteins	Release.Date	Modify.Date	Status	Center	BioSample.Accession	Assembly.Accession	Reference	FTP.Path	Pubmed.ID	Strain	Actual.Size
Burkholderia sp. AU31652	2015354	PRJEB38843	656984	Pseudomonadota	Betaproteobacteria	8.48516	65.6	-	CAIRKU01	2873	-	-	2020/08/18	2020/08/18	Contig	CARDIFF SCHOOL OF BIOSCIENCES	SAMEA6943469	GCA_903879245.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/903/879/245/GCA_903879245.1_BCC1285	-	BCC1285	8485156
Burkholderia sp. LMG 13014	2709306	PRJEB42964	700959	Pseudomonadota	Betaproteobacteria	8.48516	65.6	-	CAJNKC01	2873	-	-	2021/02/18	2021/02/18	Contig	UNIVERSITY OF LIVERPOOL	SAMEA7997992	GCA_905232205.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/232/205/GCA_905232205.1_Burkholderia_sp._BCC1285	-	Burkholderia_sp._BCC1285	8485156
Listeria monocytogenes	1639	PRJNA704324	704324	Terrabacteria group	Bacillota	3.10255	37.9	-	JAFINA01	14	3180	3004	2021/03/01	2022/03/10	Contig	IHU Genomes	SAMN18037628	GCA_017115615.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/115/615/GCA_017115615.1_ASM1711561v1	-	Marseille-Q0783	3102553
Listeria monocytogenes	1639	PRJEB35256	778487	Terrabacteria group	Bacillota	3.10255	37.9	-	CACRVG01	14	3180	3082	2021/11/08	2021/11/25	Contig	IHU - Mediterranee Infection	SAMEA6162923	GCA_902652765.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/652/765/GCA_902652765.1_Q0783	-	Q0783	3102553
Klebsiella pneumoniae	573	PRJNA806574	806574	Pseudomonadota	Gammaproteobacteria	5.62801	57.1	-	JAKRAU01	96	5646	5429	2022/11/10	2022/11/12	Contig	Peking University Third Hospital	SAMN25889455	GCA_026128415.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/128/415/GCF_026128415.1_ASM2612841v1	36207674	PEkp145	5628006
Klebsiella pneumoniae	573	PRJNA838135	838135	Pseudomonadota	Gammaproteobacteria	5.62801	57.1	-	JAMFZG01	96	-	-	2022/11/15	2022/11/15	Contig	Peking University Third Hospital	SAMN28408362	GCA_026198215.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/198/215/GCF_026198215.1_ASM2619821v1	36262596	213	5628006
uncultured Dialister sp.	278064	PRJEB26432	517255	Terrabacteria group	Bacillota	1.48883	43.3	-	URIB01	34	-	-	2019/01/28	2019/01/28	Contig	European Bioinformatics Institute	SAMEA4891662	GCA_900547785.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/547/785/GCA_900547785.1_UMGS1019	-	UMGS1019	1488827
uncultured Dialister sp.	278064	PRJEB33885	559126	Terrabacteria group	Bacillota	1.48883	43.3	-	CABSOJ01	34	-	-	2019/09/06	2021/03/01	Contig	EMG	SAMEA5852297	GCA_902479395.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/479/395/GCA_902479395.1_UHGG-TPA_MGYG-HGUT-02792	-	MGYG-HGUT-02792	1488827
Legionella pneumophila	446	PRJNA473823	473823	Pseudomonadota	Gammaproteobacteria	3.39025	38.2	-	QJQR01	21	3074	2998	2018/06/10	2022/08/25	Contig	Virginia Tech	SAMN09283981	GCA_003205055.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/205/055/GCF_003205055.1_ASM320505v1	-	GC06	3390255
Legionella pneumophila	446	PRJNA453403	453403	Pseudomonadota	Gammaproteobacteria	3.39025	38.2	-	QFHN01	21	3067	2991	2019/04/29	2022/05/03	Contig	Virginia Polytechnic Institute and State University	SAMN08978022	GCA_004920825.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/920/825/GCF_004920825.1_ASM492082v1	-	PC01	3390255
Corynebacterium pacaense	1816684	PRJEB19973	379097	Terrabacteria group	Actinomycetota	3.03021	63.7	-	FWCI01	13	2783	2642	2017/03/18	2022/04/19	Scaffold	IHU - Mediterranee Infection	SAMEA103910525	GCA_900169525.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/169/525/GCA_900169525.1_PRJEB19973	-	Marseille-P2417	3030206
Corynebacteriaceae bacterium 'ARUP UnID 227'	1164002	PRJEB33885	559126	Terrabacteria group	Actinomycetota	3.03021	63.7	-	CABMKB01	13	-	-	2019/08/16	2019/08/16	Scaffold	EMG	SAMEA5851910	GCA_902386875.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/386/875/GCA_902386875.1_UHGG_MGYG-HGUT-02406	-	MGYG-HGUT-02406	3030206
Klebsiella pneumoniae	573	PRJNA831908	831908	Pseudomonadota	Gammaproteobacteria	5.43668	57.3	-	JALPZL01	58	5357	5097	2022/05/08	2022/05/12	Contig	Wuhan CDC	SAMN27770869	GCA_023277155.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/277/155/GCA_023277155.1_ASM2327715v1	-	FY3	5436682
Klebsiella pneumoniae	573	PRJNA831908	831908	Pseudomonadota	Gammaproteobacteria	5.43668	57.3	-	JAMZCZ01	58	5360	5103	2022/07/25	2022/07/31	Contig	Wuhan CDC	SAMN27865098	GCA_024434375.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/434/375/GCF_024434375.1_ASM2443437v1	-	FY300	5436682
Pelagibacteraceae bacterium AG-422-C23	2161989	PRJNA445865	445865	Pseudomonadota	Alphaproteobacteria	0.809608	28.7	-	QCMO01	46	-	-	2018/06/12	2018/09/11	Contig	Massachusetts Institute of Technology	SAMN08886429	GCA_003213695.1	-	-	30179231	AG-422-C23	809608
uncultured Pelagibacteraceae bacterium	1667051	PRJEB33281	572885	Pseudomonadota	Alphaproteobacteria	0.809608	28.7	-	CACGCH01	46	-	-	2019/10/30	2021/01/18	Contig	WOODS HOLE OCEANOGRAPHIC INSTITUTION	SAMEA6076220	GCA_902571515.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/571/515/GCA_902571515.1_AG-422-C23	-	AG-422-C23	809608
uncultured Collinsella sp.	165190	PRJEB26432	517255	Terrabacteria group	Actinomycetota	1.11823	60.4	-	USIE01	28	-	-	2019/01/28	2019/01/28	Contig	European Bioinformatics Institute	SAMEA4892356	GCA_900554645.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/554/645/GCA_900554645.1_UMGS1747	-	UMGS1747	1118229
uncultured Collinsella sp.	165190	PRJEB33885	559126	Terrabacteria group	Actinomycetota	1.11823	60.4	-	CABSTZ01	28	-	-	2019/09/06	2021/03/01	Contig	EMG	SAMEA5852433	GCA_902480805.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/480/805/GCA_902480805.1_UHGG-TPA_MGYG-HGUT-02928	-	MGYG-HGUT-02928	1118229
Neisseria gonorrhoeae	485	PRJNA1067895	1067895	Pseudomonadota	Betaproteobacteria	2.26559	52.3346	chromosome:NZ_CP145059.1/CP145059.1; plasmid pConj:NZ_CP145060.1/CP145060.1; plasmid pCryptic:NZ_CP145061.1/CP145061.1	-	3	2401	2089	2024/06/27	2024/06/28	Complete Genome	Orebro University Hospital	SAMN39556045	GCA_040391575.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/391/575/GCF_040391575.1_WHO_W_2024	-	-	2265593
Neisseria gonorrhoeae	485	PRJEB14020	342973	Pseudomonadota	Betaproteobacteria	2.26559	52.3346	chromosome 1:NZ_LT592163.1/LT592163.1; plasmid 2:NZ_LT592164.1/LT592164.1; plasmid 3:NZ_LT592165.1/LT592165.1	-	3	2397	2091	2016/09/15	2021/12/16	Complete Genome	WELLCOME SANGER INSTITUTE	SAMEA2448470	GCA_900087645.2	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/087/645/GCA_900087645.2_WHOW	-	WHO_W	2265593
Oscillospiraceae bacterium	2485925	PRJEB31003	517862	Terrabacteria group	Bacillota	1.034	59.3	-	CAAFLR01	435	-	-	2019/04/04	2021/02/24	Contig	DOE JGI	SAMEA5278890	GCA_900763775.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/763/775/GCA_900763775.1_SRS1596854_3	-	HGM13209	1034002
uncultured Oscillospiraceae bacterium	707003	PRJEB33885	559126	Terrabacteria group	Bacillota	1.034	59.3	-	CABTGW01	435	-	-	2019/09/06	2021/03/01	Contig	EMG	SAMEA5852805	GCA_902484475.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/484/475/GCA_902484475.1_UHGG-TPA_MGYG-HGUT-03299	-	MGYG-HGUT-03299	1034002
Salmonella bongori	54736	PRJNA369050	369050	Pseudomonadota	Gammaproteobacteria	4.57215	51.3	-	NAPQ01	84	4384	4133	2017/05/08	2022/06/19	Contig	Istituto Zooprofilattico Sperimentale del Piemonte, Liguria e Valle d'Aosta	SAMN06276356	GCA_002119365.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/119/365/GCF_002119365.1_ASM211936v1	-	CATO-2016	4572147
Salmonella bongori	54736	PRJEB33885	559126	Pseudomonadota	Gammaproteobacteria	4.57215	51.3	-	CABMNA01	84	4388	4136	2019/08/12	2022/09/29	Contig	EMG	SAMEA5852001	GCA_902387725.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/387/725/GCA_902387725.1_UHGG_MGYG-HGUT-02496	-	MGYG-HGUT-02496	4572147
Dermabacter jinjuensis	1667168	PRJEB33885	559126	Terrabacteria group	Actinomycetota	2.37774	62.7	chromosome 1:NZ_LR698963.1/LR698963.1	-	1	2152	2066	2019/08/09	2021/12/16	Chromosome	EMG	SAMEA5850951	GCA_902381725.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/381/725/GCA_902381725.1_UHGG_MGYG-HGUT-01448	-	MGYG-HGUT-01448	2377736
Dermabacter sp. HFH0086	1203568	PRJNA169448	169448	Terrabacteria group	Actinomycetota	2.37774	62.7	-	ATFO01	1	2160	2075	2013/06/21	2022/07/29	Scaffold	Broad Institute	SAMN02596992	GCA_000413375.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/413/375/GCA_000413375.1_Derm_sp_HFH0086_V1	-	HFH0086	2377736
Aeromonas salmonicida	645	PRJNA264317	264317	Pseudomonadota	Gammaproteobacteria	4.55484	58.9	-	JZTG01	47	4293	4072	2015/12/15	2022/02/22	Contig	Universite Laval	SAMN03395036	GCA_001466435.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/466/435/GCF_001466435.1_ASM146643v1	26753691	Y567	4554843
Aeromonas salmonicida	645	PRJEB71012	1084441	Pseudomonadota	Gammaproteobacteria	4.55484	58.9	-	CAWMOS01	47	-	-	2024/02/29	2024/03/02	Contig	Nanjing Agriculture University	SAMEA115017289	GCA_963869505.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/869/505/GCA_963869505.1_ena-yuan-GCF_001466435.1	-	ena-yuan-GCF_001466435.1	4554843
Klebsiella pneumoniae	573	PRJNA845909	845909	Pseudomonadota	Gammaproteobacteria	5.65995	57.1	-	JAMQEI01	150	5744	5511	2022/08/04	2022/08/06	Contig	IMPaM(UBA/CONICET)-Facultad de Medicina UBA	SAMN28864713	GCA_024534295.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/534/295/GCF_024534295.1_ASM2453429v1	-	HA3	5659950
Klebsiella pneumoniae	573	PRJNA841267	841267	Pseudomonadota	Gammaproteobacteria	5.65995	57.1	-	JAODVH01	150	5750	5480	2022/09/25	2022/09/28	Scaffold	Universidad de Buenos Aires, CONICET	SAMN30937656	GCA_025399265.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/399/265/GCF_025399265.1_ASM2539926v1	-	HA3pKpn	5659950
Bordetella pertussis	520	PRJNA279196	279196	Pseudomonadota	Betaproteobacteria	4.10639	67.7	chromosome:NZ_CP011693.1/CP011693.1	-	1	3946	3632	2017/02/06	2021/11/29	Complete Genome	Centers for Disease Control and Prevention	SAMN03702615	GCA_001986515.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/515/GCF_001986515.1_ASM198651v1	-	E530	4106392
Bordetella pertussis	520	PRJNA279196	279196	Pseudomonadota	Betaproteobacteria	4.10639	67.7	chromosome:NZ_CP013082.1/CP013082.1	-	1	3961	3648	2017/02/06	2022/10/09	Complete Genome	Centers for Disease Control and Prevention	SAMN04221186	GCA_001988175.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/988/175/GCF_001988175.1_ASM198817v1	28167525	H382	4106392
Bordetella pertussis	520	PRJNA279196	279196	Pseudomonadota	Betaproteobacteria	4.10639	67.7	chromosome:NZ_CP016968.1/CP016968.1	-	1	3955	3644	2017/09/05	2022/10/10	Complete Genome	Centers for Disease Control and Prevention	SAMN05583848	GCA_002286175.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/286/175/GCF_002286175.1_ASM228617v1	-	D925	4106392
Klebsiella sp. 74589	3079071	PRJNA1023557	1023557	Pseudomonadota	Gammaproteobacteria	5.522	57.3	-	JAWJSS01	110	5533	5340	2024/03/04	2024/03/06	Contig	the First Affiliated Hospital of Medical School	SAMN37663569	GCA_037000065.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/000/065/GCF_037000065.1_ASM3700006v1	38295990	74589	5521998
Klebsiella pneumoniae	573	PRJNA870306	870306	Pseudomonadota	Gammaproteobacteria	5.522	57.3	-	JANTEP01	110	-	-	2022/11/13	2022/11/13	Contig	Zhejiang university	SAMN30369274	GCA_026164175.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/164/175/GCF_026164175.1_ASM2616417v1	-	PRKP05	5521998
Candidatus Saccharibacteria bacterium oral taxon 488	713059	PRJNA282954	282954	Bacteria incertae sedis	Bacteria candidate phyla	0.847999	50.8	chromosome:CP040002.1	-	1	899	842	2020/05/15	2020/06/16	Complete Genome	The Forsyth Institute	SAMN11483319	GCA_013100845.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/100/845/GCA_013100845.1_ASM1310084v1	-	AC002	847999
Candidatus Saccharibacteria bacterium oral taxon 488	713059	PRJNA282954	282954	Bacteria incertae sedis	Bacteria candidate phyla	0.847999	50.8	chromosome:CP058260.1	-	1	909	852	2020/07/08	2020/08/06	Complete Genome	The Forsyth Institute	SAMN15358658	GCA_013394755.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/394/755/GCA_013394755.1_ASM1339475v1	-	HB001	847999
Enterococcaceae bacterium	2291321	PRJNA843551	843551	Terrabacteria group	Bacillota	1.66306	39.4	-	DAIPAO01	208	-	-	2024/02/22	2024/02/22	Scaffold	Helmholtz Centre for Environmental Research - UFZ	SAMN28747889	GCA_036774935.1	-	-	37994269	CTOTU45661	1663062
Enterococcus aquimarinus	328396	PRJNA925477	925477	Terrabacteria group	Bacillota	1.66306	39.4	-	DAOMUS01	208	-	-	2024/01/09	2024/01/09	Scaffold	CLUE-TERRA	SAMN32867945	GCA_035435645.1	-	-	38289113	AMR_MDS_5724	1663062
Enterococcus faecium	1352	PRJNA628015	628015	Terrabacteria group	Bacillota	3.04275	37.6	-	JABEXK01	253	3029	2752	2021/08/26	2022/09/20	Contig	China Agriculture University	SAMN14694297	GCA_019780345.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/780/345/GCA_019780345.1_ASM1978034v1	-	CAU366	3042749
Enterococcus faecium	1352	PRJNA910241	910241	Terrabacteria group	Bacillota	3.04275	37.6	-	JAPTSH01	253	-	-	2023/02/20	2023/02/20	Contig	China Agricultural University	SAMN32119439	GCA_028746015.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/746/015/GCF_028746015.1_ASM2874601v1	-	CAU366	3042749
Bacillus massilionigeriensis	1805475	PRJEB17645	352501	Terrabacteria group	Bacillota	4.21692	36.7	-	FPDX01	13	4168	3958	2016/11/07	2022/01/26	Scaffold	IHU - Mediterranee Infection	SAMEA4534506	GCA_900117315.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/117/315/GCA_900117315.1_PRJEB17645	-	Marseille-P2348T	4216923
Bacillus massilionigeriensis	1805475	PRJEB33885	559126	Terrabacteria group	Bacillota	4.21692	36.7	-	CABMKG01	13	4187	3980	2019/08/12	2022/09/29	Scaffold	EMG	SAMEA5851908	GCA_902386855.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/386/855/GCA_902386855.1_UHGG_MGYG-HGUT-02404	-	MGYG-HGUT-02404	4216923
Enterobacterales bacterium	1993870	PRJEB33885	559126	Pseudomonadota	Gammaproteobacteria	3.65326	51.9	-	CABMOI01	38	-	-	2019/08/16	2019/08/16	Contig	EMG	SAMEA5852041	GCA_902388145.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/388/145/GCA_902388145.1_UHGG_MGYG-HGUT-02536	-	MGYG-HGUT-02536	3653255
Plesiomonas shigelloides	703	PRJEB6403	251923	Pseudomonadota	Gammaproteobacteria	3.65326	51.9	-	UATR01	38	3251	3028	2018/06/16	2021/11/28	Contig	Wellcome Sanger Institute	SAMEA104338378	GCA_900454915.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/454/915/GCA_900454915.1_58833_C01	-	NCTC10364	3653255
uncultured Collinsella sp.	165190	PRJEB31003	517862	Terrabacteria group	Actinomycetota	1.38839	59.3	-	CAAFOF01	780	-	-	2019/04/04	2021/02/24	Contig	DOE JGI	SAMEA5279449	GCA_900764485.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/764/485/GCA_900764485.1_SRS1735565_11	-	HGM04198	1388393
uncultured Collinsella sp.	165190	PRJEB33885	559126	Terrabacteria group	Actinomycetota	1.38839	59.3	-	CABTHQ01	780	-	-	2019/09/06	2021/03/01	Contig	EMG	SAMEA5852821	GCA_902484665.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/484/665/GCA_902484665.1_UHGG-TPA_MGYG-HGUT-03315	-	MGYG-HGUT-03315	1388393
Spirochaetales bacterium	2026792	PRJNA925477	925477	Spirochaetota	Spirochaetia	2.80023	66.2	-	DAOOXL01	478	2810	2769	2024/01/09	2024/01/09	Scaffold	CLUE-TERRA	SAMN32865325	GCA_035393485.1	-	-	38289113	AMR_MDS_3590	2800235
Spirochaetales bacterium	2026792	PRJNA843551	843551	Spirochaetota	Spirochaetia	2.80023	66.2	-	DAISYN01	478	-	-	2024/02/23	2024/02/23	Scaffold	Helmholtz Centre for Environmental Research - UFZ	SAMN28750819	GCA_036825315.1	-	-	37994269	CTOTU18555	2800235
Streptomyces drozdowiczii JCM 13580	1302724	PRJDB931	245954	Terrabacteria group	Actinomycetota	3.13576	68.7	-	BBFQ01	2805	-	-	2015/10/01	2015/10/01	Contig	The University of Tokyo	SAMD00016931	GCA_001313325.1	-	-	-	JCM 13580	3135760
Streptomyces sp. SID7803	2690326	PRJNA596543	596543	Terrabacteria group	Actinomycetota	3.13576	68.7	-	WWHJ01	2805	4601	1189	2020/01/13	2020/01/13	Contig	University of Wisconsin-Madison	SAMN13630893	GCA_009862605.1	-	-	30705269	SID7803	3135760
Streptomyces sp. Amel2xE9	1157634	PRJNA169737	169737	Terrabacteria group	Actinomycetota	8.25244	72.9	-	ARPE01	70	7243	6957	2013/04/25	2022/01/11	Scaffold	DOE Joint Genome Institute	SAMN02441313	GCA_000383935.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/383/935/GCA_000383935.1_ASM38393v1	-	Amel2xE9	8252435
Streptomyces sp. SID8381	2690361	PRJNA596543	596543	Terrabacteria group	Actinomycetota	8.25244	72.9	-	WWGA01	70	7243	6688	2020/01/13	2022/02/05	Scaffold	University of Wisconsin-Madison	SAMN13630928	GCA_009864865.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/864/865/GCF_009864865.1_ASM986486v1	30705269	SID8381	8252435
uncultured Eubacteriales bacterium	172733	PRJEB21624	393957	Terrabacteria group	Bacillota	1.99959	52.2	-	ONPU01	23	-	-	2018/03/19	2018/03/19	Contig	THE ROSLIN INSTITUTE	SAMEA104666634	GCA_900319795.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/319/795/GCA_900319795.1_Rumen_uncultured_genome_RUG534	-	RUG534	1999590
uncultured Lachnospiraceae bacterium	297314	PRJEB31266	522726	Terrabacteria group	Bacillota	1.99959	52.2	-	CACVLT01	23	-	-	2020/02/10	2021/02/22	Contig	THE ROSLIN INSTITUTE	SAMEA6148163	GCA_902755075.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/755/075/GCA_902755075.1_Rumen_uncultured_genome_RUG10031	-	RUG10031	1999590
Pelagibacteraceae bacterium AG-426-I15	2161996	PRJNA445865	445865	Pseudomonadota	Alphaproteobacteria	0.976624	30.1	-	QCNT01	19	-	-	2018/06/12	2018/09/11	Contig	Massachusetts Institute of Technology	SAMN08886460	GCA_003213135.1	-	-	30179231	AG-426-I15	976624
uncultured Pelagibacteraceae bacterium	1667051	PRJEB33281	572885	Pseudomonadota	Alphaproteobacteria	0.976624	30.1	-	CACGZT01	19	-	-	2019/10/30	2021/01/18	Contig	WOODS HOLE OCEANOGRAPHIC INSTITUTION	SAMEA6079625	GCA_902577615.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/577/615/GCA_902577615.1_AG-426-I15	-	AG-426-I15	976624
Bordetella pertussis	520	PRJNA279196	279196	Pseudomonadota	Betaproteobacteria	4.10325	67.7	chromosome:NZ_CP011192.1/CP011192.1	-	1	3943	3627	2017/02/06	2022/02/10	Complete Genome	Centers for Disease Control and Prevention	SAMN03455356	GCA_001985425.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/985/425/GCF_001985425.1_ASM198542v1	28167525	H765	4103252
Bordetella pertussis	520	PRJNA279196	279196	Pseudomonadota	Betaproteobacteria	4.10325	67.7	chromosome:NZ_CP011706.1/CP011706.1	-	1	3947	3624	2017/02/06	2022/02/10	Complete Genome	Centers for Disease Control and Prevention	SAMN03702628	GCA_001986775.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/775/GCF_001986775.1_ASM198677v1	28167525	H847	4103252
Photorhabdus heterorhabditis	880156	PRJNA400045	400045	Pseudomonadota	Gammaproteobacteria	5.04653	42.2	-	RCWA01	226	4659	4261	2021/05/23	2022/04/14	Scaffold	University of Bern	SAMN10241663	GCA_018448905.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/448/905/GCA_018448905.1_ASM1844890v1	30688647	SF41	5046526
Photorhabdus heterorhabditis	880156	PRJEB71012	1084441	Pseudomonadota	Gammaproteobacteria	5.04653	42.2	-	CAWQAO01	226	-	-	2024/02/29	2024/03/02	Scaffold	Nanjing Agriculture University	SAMEA115015460	GCA_963892655.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/892/655/GCA_963892655.1_ena-yuan-GCF_018448905.1	-	ena-yuan-GCF_018448905.1	5046526
Mycoplasma mycoides subsp. capri	40477	PRJNA285728	285728	Terrabacteria group	Mycoplasmatota	1.08576	23.9	chromosome:NZ_CP012387.1/CP012387.1	-	1	899	853	2015/08/17	2022/04/11	Complete Genome	International Livestock Research Institute	SAMN03758384	GCA_001267815.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/267/815/GCF_001267815.1_ASM126781v1	-	GM12	1085764
Mycoplasma mycoides subsp. capri	40477	PRJEB26626	518835	Terrabacteria group	Mycoplasmatota	1.08576	23.9	chromosome omosome:NZ_LS483515.1/LS483515.1	-	1	898	850	2019/02/11	2021/12/16	Complete Genome	Swiss Institute of Bioinformatics, Switzerland	SAMEA4666042	GCA_900489825.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/489/825/GCA_900489825.1_WT-YCP-cl7-3-2-VL648	-	GM12	1085764
Haemophilus haemolyticus	726	PRJNA509094	509094	Pseudomonadota	Gammaproteobacteria	1.93875	38.1	-	SDPK01	67	1910	1783	2019/06/24	2022/08/22	Contig	Menzies School of Health Research	SAMN10537251	GCA_006439115.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/439/115/GCF_006439115.1_ASM643911v1	-	PN24	1938749
Haemophilus haemolyticus	726	PRJNA644069	644069	Pseudomonadota	Gammaproteobacteria	1.93875	38.1	-	JACBKC01	67	1914	1747	2020/07/11	2022/08/08	Contig	Aarhus University Hospital, Denmark	SAMN15447168	GCA_013401825.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/401/825/GCA_013401825.1_ASM1340182v1	-	PN24	1938749
Proteus alimentorum	1973495	PRJNA381112	381112	Pseudomonadota	Gammaproteobacteria	3.83694	38	-	NBVR01	44	3546	3403	2017/10/20	2022/03/06	Scaffold	National Institute for Communicable Disease Control and Prevention, China CDC	SAMN06670437	GCA_002607735.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/607/735/GCF_002607735.1_ASM260773v1	-	08MAS0041	3836940
Proteus alimentorum	1973495	PRJEB71012	1084441	Pseudomonadota	Gammaproteobacteria	3.83694	38	-	CAWNQR01	44	-	-	2024/02/29	2024/03/02	Scaffold	Nanjing Agriculture University	SAMEA115017544	GCA_963876675.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/876/675/GCA_963876675.1_ena-yuan-GCF_002607735.1	-	ena-yuan-GCF_002607735.1	3836940
Pelagibacteraceae bacterium AG-430-P08	2162055	PRJNA445865	445865	Pseudomonadota	Alphaproteobacteria	1.01705	29.3	-	QCOL01	39	-	-	2018/06/12	2018/09/11	Contig	Massachusetts Institute of Technology	SAMN08886478	GCA_003212925.1	-	-	30179231	AG-430-P08	1017047
uncultured Pelagibacteraceae bacterium	1667051	PRJEB33281	572885	Pseudomonadota	Alphaproteobacteria	1.01705	29.3	-	CACIAV01	39	-	-	2019/10/30	2021/01/18	Contig	WOODS HOLE OCEANOGRAPHIC INSTITUTION	SAMEA6079984	GCA_902584595.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/584/595/GCA_902584595.1_AG-430-P08	-	AG-430-P08	1017047
uncultured Robinsoniella sp.	904190	PRJEB33885	559126	Terrabacteria group	Bacillota	1.78245	40.7	-	CABSOO01	469	-	-	2019/09/06	2021/03/01	Contig	EMG	SAMEA5852290	GCA_902479325.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/479/325/GCA_902479325.1_UHGG-TPA_MGYG-HGUT-02785	-	MGYG-HGUT-02785	1782446
uncultured Blautia sp.	765821	PRJEB26432	517255	Terrabacteria group	Bacillota	1.78245	40.7	-	USTY01	469	-	-	2019/01/28	2019/01/28	Contig	European Bioinformatics Institute	SAMEA4892666	GCA_900557795.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/557/795/GCA_900557795.1_UMGS2079	-	UMGS2079	1782446
